Timestamp(ms),Current(uA)
5900,3420.212
5910,3428.260
5920,3425.884
5930,3426.046
5940,3423.342
5950,3424.937
5960,3421.896
5970,3425.994
5980,3428.226
5990,3427.877
6000,3425.077
6010,3421.536
6020,3426.302
6030,3425.228
6040,3423.806
6050,3423.155
6060,3427.331
6070,3426.151
6080,3424.080
6090,3425.017
6100,3431.026
6110,3429.826
6120,3427.543
6130,3425.838
6140,3428.352
6150,3425.829
6160,3425.104
6170,3430.591
6180,3429.018
6190,3425.348
6200,3424.473
6210,3428.300
6220,3428.423
6230,3432.186
6240,3425.879
6250,3423.568
6260,3429.273
6270,3429.363
6280,3426.410
6290,3428.048
6300,3427.996
6310,3429.497
6320,3419.607
6330,3423.161
6340,3427.989
6350,3426.697
6360,3429.551
6370,3429.524
6380,3427.844
6390,3428.943
6400,3428.099
6410,3430.855
6420,3430.569
6430,3428.531
6440,3432.415
6450,3430.349
6460,3429.999
6470,3430.302
6480,3430.082
6490,3436.585
6500,3438.440
6510,3430.490
6520,3430.082
6530,3431.237
6540,3430.113
6550,3431.918
6560,3430.096
6570,3424.614
6580,3424.808
6590,3432.104
6600,3428.436
6610,3427.716
6620,3431.761
6630,3434.650
6640,3427.691
6650,3430.829
6660,3433.047
6670,3432.446
6680,3429.124
6690,3433.016
6700,3430.015
6710,3435.427
6720,3433.256
6730,3429.756
6740,3433.680
6750,3433.605
6760,3425.317
6770,3422.142
6780,3423.090
6790,3427.886
6800,3422.577
6810,3417.665
6820,3428.196
6830,3419.735
6840,3422.424
6850,3420.532
6860,3425.799
6870,3432.366
6880,3426.455
6890,3429.043
6900,3425.354
6910,3427.962
6920,3427.855
6930,3427.001
6940,3429.060
6950,3430.040
6960,3427.506
6970,3427.521
6980,3425.301
6990,3428.290
7000,3432.683
7010,3428.344
7020,3424.663
7030,3423.266
7040,3421.700
7050,3430.700
7060,3426.658
7070,3427.941
7080,3425.890
7090,3429.709
7100,3422.869
7110,3425.981
7120,3426.782
7130,3422.217
7140,3429.149
7150,3428.869
7160,3431.301
7170,3428.561
7180,3429.663
7190,3431.202
7200,3431.954
7210,3428.638
7220,3429.890
7230,3427.536
7240,3428.505
7250,3431.588
7260,3430.792
7270,3434.420
7280,3426.101
7290,3427.132
7300,3428.727
7310,3429.347
7320,3429.487
7330,3428.684
7340,3428.750
7350,3429.564
7360,3427.515
7370,3428.942
7380,3430.033
7390,3432.307
7400,3428.464
7410,3427.032
7420,3428.735
7430,3431.178
7440,3428.081
7450,3432.207
7460,3429.749
7470,3427.761
7480,3428.134
7490,3431.458
7500,3436.185
7510,3429.235
7520,3434.246
7530,3435.118
7540,3429.857
7550,3426.744
7560,3430.451
7570,3434.745
7580,3428.913
7590,3434.552
7600,3430.850
7610,3429.664
7620,3433.676
7630,3433.053
7640,3432.949
7650,3435.129
7660,3428.145
7670,3431.307
7680,3432.594
7690,3429.179
7700,3432.924
7710,3431.007
7720,3433.972
7730,3433.822
7740,3428.123
7750,3427.667
7760,3427.876
7770,3431.491
7780,3434.944
7790,3420.613
7800,3423.070
7810,3416.141
7820,3419.536
7830,3419.462
7840,3422.676
7850,3416.351
7860,3417.683
7870,3420.442
7880,3420.162
7890,3424.051
7900,3422.856
7910,3423.973
7920,3421.641
7930,3426.907
7940,3420.797
7950,3425.356
7960,3425.301
7970,3424.654
7980,3422.131
7990,3427.013
8000,3424.836
8010,3427.804
8020,3426.464
8030,3429.352
8040,3427.053
8050,3420.579
8060,3422.933
8070,3427.705
8080,3428.006
8090,3425.256
8100,3431.679
8110,3431.331
8120,3427.687
8130,3429.983
8140,3425.364
8150,3428.094
8160,3429.456
8170,3428.718
8180,3441.708
8190,3483.564
8200,3500.418
8210,3504.828
8220,3506.681
8230,3507.583
8240,3510.713
8250,3508.857
8260,3509.956
8270,3513.322
8280,3507.655
8290,3511.920
8300,3505.219
8310,3508.002
8320,3501.026
8330,3503.610
8340,3510.396
8350,3509.820
8360,3510.685
8370,3506.221
8380,3506.127
8390,3510.310
8400,3506.872
8410,3512.085
8420,3507.154
8430,3512.504
8440,3505.500
8450,3507.884
8460,3505.489
8470,3508.633
8480,3510.288
8490,3512.179
8500,3509.844
8510,3510.899
8520,3505.509
8530,3511.057
8540,3513.834
8550,3515.552
8560,3510.403
8570,3510.851
8580,3508.623
8590,3508.453
8600,3503.510
8610,3511.217
8620,3506.532
8630,3507.022
8640,3508.363
8650,3507.921
8660,3507.252
8670,3509.043
8680,3510.906
8690,3507.731
8700,3508.943
8710,3506.257
8720,3505.475
8730,3509.905
8740,3509.785
8750,3507.934
8760,3509.196
8770,3509.946
8780,3514.015
8790,3513.319
8800,3511.747
8810,3509.311
8820,3504.225
8830,3506.778
8840,3508.576
8850,3508.496
8860,3506.711
8870,3511.283
8880,3507.092
8890,3506.349
8900,3509.565
8910,3507.066
8920,3507.417
8930,3508.912
8940,3508.005
8950,3506.323
8960,3507.412
8970,3506.861
8980,3509.829
8990,3507.531
9000,3509.222
9010,3504.799
9020,3507.574
