Timestamp(ms),Current(uA)
8390,41717.027
8400,41517.594
8410,41788.813
8420,41814.758
8430,41754.121
8440,41856.191
8450,41708.133
8460,41908.230
8470,40898.805
8480,41249.328
8490,41288.273
8500,41333.324
8510,41218.582
8520,41160.793
8530,41092.605
8540,41062.582
8550,41014.488
8560,41044.609
8570,41023.113
8580,41053.410
8590,41027.707
8600,41044.141
8610,41025.617
8620,41055.770
8630,41041.848
8640,41076.266
8650,41036.820
8660,41059.238
8670,41035.090
8680,40931.730
8690,41216.574
8700,41355.250
8710,41344.566
8720,41394.770
8730,41359.109
8740,41397.969
8750,41382.473
8760,41388.160
8770,41364.043
8780,41394.207
8790,41385.066
8800,41407.402
8810,41378.242
8820,41413.063
8830,41401.715
8840,41434.508
8850,41847.633
8860,41672.961
8870,41577.320
8880,41150.973
8890,41430.832
8900,41574.809
8910,41574.766
8920,41615.004
8930,41622.070
8940,41654.918
8950,41657.430
8960,41842.684
8970,41853.871
8980,41928.137
8990,41886.391
9000,41931.586
9010,41879.891
9020,41935.570
9030,41886.563
9040,41947.066
9050,41894.324
9060,41923.801
9070,41872.391
9080,41644.359
9090,41671.727
9100,41913.813
9110,41603.012
9120,41968.816
9130,41500.004
9140,41970.645
9150,42067.906
9160,41848.410
9170,41998.895
9180,41680.383
9190,41968.813
9200,41797.695
9210,42142.996
9220,42443.887
9230,42197.988
9240,42457.441
9250,42173.879
9260,42459.277
9270,42127.406
9280,42436.891
9290,42438.781
9300,42412.969
9310,42506.129
9320,41798.648
9330,41915.648
9340,41495.219
9350,41630.355
9360,41749.406
9370,41739.305
9380,42208.113
9390,42009.051
9400,42340.566
9410,41812.723
9420,41827.301
9430,41800.309
9440,41662.184
9450,41750.559
9460,41617.316
9470,42114.949
9480,41909.480
9490,42112.941
9500,42228.938
9510,41463.543
9520,41632.539
9530,41099.137
9540,41509.965
9550,41441.055
9560,41762.742
9570,42018.809
9580,41970.445
9590,42154.398
9600,41564.023
9610,41623.852
9620,41588.672
9630,41492.141
9640,41649.613
9650,41552.879
9660,42035.117
9670,41807.391
9680,42081.141
9690,41644.547
9700,41273.754
9710,41367.258
9720,41472.965
9730,41421.758
9740,41416.754
9750,41330.641
9760,41080.043
9770,40946.199
9780,40931.762
9790,40883.512
9800,40902.797
9810,40871.852
9820,40907.566
9830,40873.512
9840,40903.125
9850,41739.180
9860,41333.164
9870,41127.324
9880,41099.762
9890,41066.277
9900,40723.609
9910,41130.691
9920,41032.695
9930,41541.707
9940,41920.188
9950,42001.258
9960,42076.957
9970,42075.176
9980,41936.594
9990,42032.109
10000,42080.402
10010,42051.863
10020,42097.965
10030,41634.129
10040,42005.387
10050,42106.809
10060,42182.492
10070,42169.762
10080,41852.816
10090,42095.406
10100,42227.234
10110,42228.832
10120,42289.422
10130,42240.328
10140,41976.152
10150,42155.875
10160,42275.793
10170,42262.098
10180,42296.820
