Timestamp(ms),Current(uA)
11980,42765.141
11990,42733.078
12000,43222.027
12010,42715.055
12020,42752.895
12030,42333.719
12040,42712.367
12050,42738.672
12060,42626.516
12070,42721.363
12080,42494.148
12090,42797.742
12100,42419.125
12110,42696.461
12120,42795.133
12130,42828.992
12140,43006.926
12150,43030.027
12160,42907.535
12170,42888.781
12180,42609.969
12190,42795.855
12200,42504.172
12210,42810.148
12220,42964.668
12230,42662.191
12240,42801.172
12250,42451.258
12260,42755.352
12270,42537.211
12280,42868.551
12290,43123.188
12300,43158.121
12310,43382.922
12320,43119.305
12330,43430.672
12340,43110.871
12350,43307.078
12360,43379.383
12370,42798.098
12380,42932.156
12390,42533.484
12400,42992.203
12410,43034.086
12420,43167.031
12430,43413.004
12440,43294.297
12450,43513.531
12460,42958.355
12470,42981.113
12480,43015.516
12490,42673.270
12500,42848.367
12510,42584.652
12520,43057.152
12530,43084.738
12540,43182.027
12550,43233.980
12560,42804.922
12570,42932.801
12580,42659.785
12590,42842.320
12600,42664.422
12610,43013.781
12620,43259.867
12630,43092.762
12640,43378.973
12650,42726.379
12660,42948.875
12670,42923.445
12680,42854.574
12690,42771.371
12700,42819.621
12710,43252.465
12720,43102.863
12730,43406.852
12740,43329.754
12750,43233.332
12760,43326.012
12770,43069.699
12780,43470.742
12790,43219.254
12800,42585.359
12810,42868.738
12820,42860.336
12830,42814.418
12840,42740.680
12850,42509.676
12860,42640.371
12870,42859.133
12880,42892.063
12890,42963.484
12900,42976.785
12910,42662.738
12920,42934.965
12930,43033.730
12940,43021.188
12950,42998.418
12960,42586.254
12970,42954.078
12980,42971.832
12990,42984.273
13000,43014.203
13010,42936.977
13020,42787.938
13030,42877.195
13040,42878.496
13050,42850.668
13060,42843.035
13070,42669.742
13080,43194.289
13090,43099.941
13100,43396.887
13110,43594.840
13120,43234.266
13130,43393.836
13140,43536.629
13150,43758.539
13160,43284.375
13170,43593.121
13180,43711.383
13190,43576.551
13200,43628.766
13210,43134.824
13220,43148.797
13230,42593.426
13240,42977.906
13250,43075.414
13260,42767.129
13270,42894.820
13280,42600.074
13290,42924.254
13300,42742.410
13310,43161.969
13320,43190.352
13330,43046.621
13340,43054.488
13350,43365.219
13360,43268.957
13370,43191.980
13380,42759.531
13390,42961.176
13400,42899.410
13410,42600.281
13420,42729.715
13430,42382.695
13440,42787.582
13450,42757.633
13460,42633.781
13470,42675.305
13480,42567.559
13490,42463.766
13500,43197.238
13510,43074.438
13520,43188.711
13530,42925.996
13540,43335.652
13550,43386.152
13560,42623.090
13570,42784.578
13580,42857.699
13590,42722.953
13600,42725.625
13610,42479.414
13620,42694.426
13630,42933.320
13640,42992.113
13650,43006.602
13660,43042.840
13670,42766.086
13680,42978.434
13690,43046.910
13700,43114.563
13710,43154.320
13720,42671.152
13730,43005.789
13740,43106.586
13750,43073.109
13760,43034.617
13770,42904.941
13780,42735.883
13790,43016.039
13800,43126.387
13810,43150.727
13820,43029.457
13830,42786.422
13840,43252.605
13850,43157.008
13860,43486.281
13870,43578.941
13880,43401.449
13890,43655.070
13900,43430.355
13910,43509.922
13920,43144.738
13930,43374.137
13940,43471.160
13950,43379.762
13960,43493.215
13970,43188.488
13980,43440.543
13990,43166.750
14000,43481.910
14010,43205.805
14020,42777.168
14030,42834.305
14040,42442.926
14050,42694.977
14060,42345.617
14070,42615.359
14080,42817.391
14090,42592.871
14100,42810.629
14110,42541.789
14120,43026.543
14130,43105.039
14140,42896.211
14150,43074.613
14160,42616.270
14170,42807.891
14180,42967.031
14190,42749.781
14200,42985.570
14210,42689.586
14220,43046.117
14230,42978.184
14240,43168.941
14250,43152.695
14260,42928.586
14270,42994.645
14280,43036.555
14290,43067.004
14300,43049.051
14310,42971.277
14320,42824.586
14330,43037.313
14340,43184.645
14350,43221.727
14360,43202.844
14370,42739.410
14380,42999.672
14390,43146.867
14400,43193.781
14410,43149.918
14420,43104.656
14430,42743.063
14440,42892.309
14450,42947.102
14460,42955.305
14470,42898.934
14480,42440.250
14490,42656.379
14500,42844.262
14510,42771.660
14520,42820.641
14530,42665.648
14540,43044.535
14550,43313.043
14560,43342.566
14570,43492.652
14580,43270.879
14590,43604.570
14600,43400.906
14610,43630.977
14620,43734.887
14630,43383.262
14640,43472.297
14650,43267.898
14660,43499.270
14670,42820.715
14680,43010.102
14690,43005.199
14700,42752.398
14710,42879.852
14720,42528.621
14730,42781.801
14740,42587.047
14750,42620.273
14760,42743.973
14770,42652.531
14780,42942.703
14790,43045.883
14800,43259.535
14810,43358.637
14820,42869.727
14830,42896.090
14840,42592.051
14850,42636.258
14860,42766.109
14870,42438.691
14880,42769.520
14890,42442.426
14900,42847.809
14910,42899.957
14920,42948.109
14930,42998.512
14940,42841.855
14950,43316.500
14960,43269.965
14970,42602.707
14980,42800.543
14990,42849.555
15000,42782.277
15010,42712.199
15020,42373.184
15030,42530.660
15040,42776.102
15050,42931.332
15060,42865.707
15070,42878.156
15080,42533.316
15090,42741.004
15100,42743.602
15110,42808.863
15120,42898.223
15130,42445.887
15140,42930.273
15150,43038.668
15160,43170.547
15170,43315.301
15180,43064.531
15190,42811.383
15200,42950.531
15210,43002.180
15220,42984.348
15230,42926.203
15240,42709.086
15250,43208.164
15260,43084.875
15270,43475.289
15280,43617.934
15290,43394.891
15300,43672.512
15310,43485.281
15320,43734.199
15330,43248.656
15340,43496.258
15350,43546.758
15360,43410.570
15370,43537.164
15380,42903.352
15390,43013.773
15400,42617.410
15410,42890.855
15420,42911.910
15430,42601.418
15440,42766.711
15450,42416.629
15460,42704.715
15470,42661.754
15480,42530.320
15490,42810.031
15500,42727.688
15510,42647.145
15520,43145.695
15530,43059.137
15540,43119.637
15550,42663.180
15560,42611.734
15570,42575.895
15580,42511.594
15590,42721.027
15600,42440.563
15610,42767.555
15620,42676.406
15630,42836.512
15640,42836.789
15650,42654.629
15660,42854.500
15670,42517.586
15680,43109.094
15690,43215.363
15700,43078.207
15710,43081.336
15720,43056.793
15730,42599.070
15740,42738.527
15750,42722.551
15760,42734.527
15770,42744.406
15780,42325.926
15790,42641.316
15800,42780.555
15810,42750.547
15820,42850.371
15830,42641.754
15840,42807.059
15850,43029.676
15860,43049.344
15870,43079.840
15880,43080.988
15890,42724.199
15900,42922.188
15910,42982.199
15920,43118.762
15930,43066.340
15940,42635.582
15950,43188.754
15960,43385.316
15970,43396.254
15980,43690.996
15990,43377.668
16000,43658.938
16010,43492.031
16020,43594.625
16030,43396.992
16040,43557.961
16050,43568.145
16060,43450.969
16070,43493.895
16080,42647.023
16090,42877.523
16100,42734.363
16110,42504.914
16120,42676.387
16130,42396.512
16140,42814.566
16150,42543.734
16160,42800.813
16170,42918.691
16180,42651.660
16190,42912.340
16200,42709.758
16210,43041.598
16220,43322.348
16230,43152.621
16240,43143.125
16250,43196.035
16260,42855.641
16270,42968.852
16280,42607.734
16290,42723.543
16300,42409.840
16310,42738.602
16320,42924.176
16330,42738.281
16340,42926.387
16350,42455.230
16360,42787.426
16370,42776.547
16380,43008.152
16390,42957.863
16400,42961.105
16410,43475.891
16420,43384.074
16430,42647.727
16440,42703.965
16450,42769.063
16460,42691.387
16470,42596.078
16480,42331.285
16490,42608.465
16500,42809.625
16510,42935.941
16520,42911.203
16530,42788.785
16540,42581.836
16550,42854.703
16560,42922.203
16570,42920.969
16580,42849.691
16590,42390.820
16600,42755.465
16610,42931.211
16620,43083.484
16630,43102.805
16640,42999.379
16650,43000.336
16660,43369.555
16670,43261.672
16680,43514.695
16690,42933.863
16700,42946.777
16710,42992.414
16720,42807.031
16730,42950.430
16740,42485.359
16750,42767.289
16760,42710.789
16770,42721.098
16780,42901.793
16790,42609.961
16800,42781.598
16810,42416.090
16820,43004.758
16830,43123.320
16840,42911.340
16850,42718.598
16860,43163.641
16870,43149.598
16880,43001.398
16890,42561.949
16900,42649.652
16910,42584.969
16920,42354.223
16930,42616.359
16940,42298.754
16950,42670.918
16960,42780.820
16970,42637.129
16980,42753.863
16990,42411.387
17000,42759.051
17010,42499.859
17020,42924.590
17030,42997.766
17040,42752.227
17050,42582.543
17060,42969.375
17070,42931.426
17080,42976.793
17090,42641.793
17100,42690.715
17110,42732.738
17120,42584.109
17130,42480.152
17140,42609.492
17150,42420.531
17160,42639.590
17170,42683.008
17180,42773.309
17190,42926.016
17200,42554.438
17210,42825.016
17220,42951.004
17230,42985.836
17240,43055.535
17250,43080.313
17260,42827.453
17270,42987.625
17280,42930.203
17290,43085.195
17300,43117.852
17310,42790.523
